id,sentence,num_aspect_terms,aspect_terms,at_polarity
33070600#670328#2,Food hmeshaa fresh aur hot - khaane ke lie taiyaar hai।,1,['Food'],['positive']
36244464#949326#5,kyaa maimne mention kiyaa ki coffee OUTSTANDING hai ?,1,['coffee'],['positive']
35390182#756337#5,Rose roll ko aaज़maaem~ (menu mem nhiim hai)।,2,"['Rose roll', 'menu']","['positive', 'neutral']"
11447227#436718#3,"mujhe drinks psmd hai, visheshkr lychee martini, aur food bhii bhut achchhaa hai।",3,"['drinks', 'lychee martini', 'food']","['positive', 'positive', 'positive']"
11359717#1138929#1,hmaaraa waiter horrible thaa; bhut rude aur disinterested thaa।,1,['waiter'],['negative']
11351513#832512#0,shaandaar food lekin service bhyaank thaa। ,2,"['food', 'service']","['positive', 'negative']"
35390148#588852#2,Portions of the food jo baahr aayaa vo mediocre thaa।,1,['Portions of the food'],['neutral']
35196527#481646#2,Desserts hmeshaa incredible hotaa hai: meraa khud kaa psmdiidaa vhm~ kaa Tart of the Day hai।,2,"['Desserts', 'Tart of the Day']","['positive', 'positive']"
35668126#536759#2,"Food bhut hii tasty thaa, creatively present kiyaa gyaa thaa aur wine shaandaar thaa।",2,"['Food', 'wine']","['positive', 'positive']"
33070286#1133164#0,hmne thoड़aa LATE AFTERNOON mem khtm kiyaa।,0,[],[]
33070286#1133164#4,hm apne CHOICE ke saath PLEASANTLY SURPRISED the।,0,[],[]
33070286#1133164#6,LASAGNA jo PROBABLY hmne TASTE kiyaa thaa bhut hii achchhaa thaa।,1,['LASAGNA'],['positive']
32894336#662479#0,Harumi Sushi sbse taaज़aa aur sushi kaa NYC mem sbse svaadisht array of sushi rhaa hai।,1,['array of sushi'],['positive']
32894336#662479#1,maim bs naa kevl iske superb cuisine ko highly recommend krtaa hoom~ blki iske friendly owners aur staff ko bhii krtaa hoom~।,3,"['cuisine', 'owners', 'staff']","['positive', 'positive', 'positive']"
32892130#435512#0,"ydi aap serious indian food ke lie trs rhem haim aur ek cozy ambiance kii ichchhaa krte haim, yh bhut hii exquisite choice hai।",2,"['indian food', 'ambiance']","['positive', 'positive']"
32892130#435512#4,maimne food ko bhii definitely enjoy kiyaa hai।,1,['food'],['positive']
32894791#1611374#0,hmeshaa yhm~ great time bitaayaa hai।,0,[],[]
33085669#409731#13,aap experience krke bhut khush homge।,0,[],[]
11351354#412616#0,"Food surprisingly achchhaa hai, aur decor achchhaa hai।",2,"['Food', 'decor']","['positive', 'positive']"
35714274#1076679#5,Two wasted steaks -- kitnaa bड़aa crime hai!,1,['steaks'],['negative']
35720486#684689#4,Staff ko thoड़aa aur friendly honaa chaahie thaa।,1,['Staff'],['negative']
33064346#1483297#0,mere hisaab se meatball parm achchhaa hai।,1,['meatball parm'],['positive']
13383936#420974#4,bilkul taglierini with truffles ko aaज़maaem~ - yh shaandaar thaa।,1,['taglierini with truffles'],['positive']
13383936#420974#5,jbki staff bhut attentive aur really personable hai।,1,['staff'],['positive']
13383936#420974#6,"kulmilaakr, yh ek great new restaurant hai jo hr time bhut achchhaa rhaa hai।",0,[],[]
32938222#1552119#2,"Food achchhaa hai, aur teriyaki ko maim recommend krtaa hoom~।",2,"['Food', 'teriyaki']","['positive', 'positive']"
11546184#1465600#0,Meal jo aapko milaa bhut expensive thaa।,1,['Meal'],['negative']
32895093#418997#3,Peanut Butter Sorbet aur pizza with soy cheese ko bhii aaज़maaem~!,2,"['Peanut Butter Sorbet', 'pizza with soy cheese']","['positive', 'positive']"
32406302#615620#2,"shii price pr good food, aapko aur kyaa chaahie।",2,"['food', 'price']","['positive', 'positive']"
35390182#756337#1,"hme yh psmd hai, aur vhm~ jaane ke lie buses aur cabs miltaa hai।",0,[],[]
11302356#1455624#2,"ydi aap New York mem haim, aapko yh place miss nhiim krnaa chaahie।",0,[],[]
11302356#1455624#1,"Food shaandaar hai, service attentive, aur atmosphere kmaal kaa hai।",3,"['Food', 'service', 'atmosphere']","['positive', 'positive', 'positive']"
35698351#821341#0,yh abhii bhii us area mem meraa most favorite restaurants hai food expensive hai lekin bhut achchhaa hai (kimono shrimp special shaandaar thaa) aur ek great atmosphere rhaa hai।,3,"['food', 'kimono shrimp special', 'atmosphere']","['positive', 'positive', 'positive']"
33070305#1312437#6,sbhii experience satisfy krne vaale the,0,[],[]
33070305#1312437#1,"jbki, yh visit ke lie worth thaa।",0,[],[]
33070305#1312437#2,Menu mज़edaar aur bilkul shii se priced haim।,2,"['Menu', 'priced']","['positive', 'positive']"
11464789#378665#0,Appetizer yhm~ shaandaar hai; aap ismem se use meal out krke great (aur inexpensive) bnaa skte haim।,2,"['Appetizer', 'meal']","['positive', 'positive']"
11351587#1488758#8,hmne jo amount paid kiyaa hai vo return nhiim hogaa।,0,[],[]
11351587#1488758#2,"jbki, foodies hokr bhii, hm food ko lekr utterly disappointed the।",1,['food'],['negative']
