id,text,aspect_category_now,ac_polarity
3085,"yh sbse bड़aa place hai jo most joints se alg adequate seating vaale features rkhtaa hai, aur ek bar jo mention ko deserve krtaa hai।",['ambience'],['positive']
954,is restaurant ko pass krne ke kuchh smy baad maimne finally mdr jaakr aur dinner krne kaa decide kiyaa।,['anecdotes/miscellaneous'],['neutral']
3626,"agr maim yhm~ ke people ko rate kr sktaa to yh place charts ke baahr hotaa - durbhaagy se - , kshmaa krem - pizza, NYC mem bhut achchhaa nhiim।","['food', 'service']","['negative', 'positive']"
408,Rice to fish ration achchhaa thaa - unhomne rice ko overpack krne kaa try nhiim kiyaa।,['food'],['positive']
2453,"mere husband ne khaa ki portions bhut small the, lekin agr mere main course kaa portion khaane mem achchhaa hotaa to mere lie thiik hotaa।",['food'],['negative']
3148,maimne a lotus leaf wrapped rice ke lie ek cart attendant se poochhaa hai aur usne nice reply diyaa aur bs chlii gii।,['service'],['negative']
1344,iskii tulnaa mem jalapeno kii heat adhik hotii hai aur yh indeed bhut achchhaa hotaa।,['food'],['positive']
960,Restaurant thoड़aa noisy hai lekin yh kuchh aisaa hai jise overlooked krte hue ek baar baithkr meal ko enjoy krte hai।,"['ambience', 'food']","['conflict', 'positive']"
768,"ydi aap visit kr rhe haim, to aap ambiance aur Time Sq... ke is fact ko enjoy kremge।",['ambience'],['positive']
266,Staff avishvsniiy roop se helpful aur attentive hai।,['service'],['positive']
682,One less manhattanite the better.,['anecdotes/miscellaneous'],['neutral']
1147,"mujhe seriously doubt hai ki maim kbhii bhii Jimmy's Bronx mem dine, yaa kbhii us matter lie phir Jimmy's Uptown jaaoomgaa।",['anecdotes/miscellaneous'],['negative']
3206,yh dates ke lie ek go-to ke saath hii town guests ke lie bhii entertaining hai।,['ambience'],['positive']
1343,"Jalapeno-lime olive oil se fluke sashimi boomd-boomd girtii hai, fruit of the oil achchhii trh se fish ke sweetness ko highlight krtaa hai।",['food'],['positive']
1424,"merii psmd: - Scallion Pancake (vegetable juice ke saath fried, bhut special aur tasty) - Guizhou Chicken - Shredded Squid Family Style (mere khud ke favorites mem se ek) - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (yh ek hardcore Sichuan food fans ke lie, maim apne American friends ko recommend nhiim kroomgaa, kyomki yh kaaphii spicy hai।",['food'],['positive']
94,"kmaal kaa atmosphere, svaadisht achchhii dishes aur mitr jaisii service.","['food', 'service', 'ambience']","['positive', 'positive', 'positive']"
1607,"Service thod़ii slow hai, lekin Napoli mem bdh़te hue mere harkens aa jaate haim, Italy jhm things jaatii nhiim aur jb aap dinner ke lie baithte haim to table poorii night aapkii hotii hai।",['service'],['conflict']
2771,"vo, editor yaa idea of romance ko agle table pr ek conversation mem share krnaa chaahemge, jbki 57vem traffic kii tulnaa mem loude bolne ke lie try kr rhem hai।",['ambience'],['negative']
58,"shaandaar food ke saath ek achchhe bar, aur dherom shaandaar beer hai।","['food', 'ambience']","['positive', 'positive']"
869,Ambience authentic aur relaxing v hmeshaa hmne attentive aur prompt service paayii hai।,"['ambience', 'service']","['positive', 'positive']"
505,"isse achchhaa hai ki, ve jaante haim ki French classics ko Setak au Poivre aur Onglet ko kaise binaa jlaae death tk ise overcooking kr diyaa jaae।",['food'],['positive']
828,"haalmki maimne dinner ke lie night mem 3 bje Dinnerbroker ke maadhym se reservation kiyaa thaa, hm sbse achchhe view ke paas table pr seated the!","['anecdotes/miscellaneous', 'ambience']","['positive', 'positive']"
2282,aap fellas log khte haim ki yh town kaa best Taiwanese restaurant hai।,['anecdotes/miscellaneous'],['neutral']
1929,"Food delicious thaa (mere paas halibut special thaa, mere husband ke paas steak thaa), aur service uchch kotii kaa thaa।","['Food', 'service']","['positive', 'positive']"
2797,yhii kevl ek place hai jhm aap yummy authentic japanese comfort food khaa skte haim।,['food'],['positive']
2125,"bhut bड़e aur taaज़e pieces of sushi, aur svaadisht!",['food'],['positive']
3371,jbki pasta bhii yhm~ delicious hai (New York pizza restaurants mem yh durlbh) hai।,['food'],['positive']
1481,"Ingredients taste ko fresh krtaa hai, crust ptlii aur crispy hotii hai, slice km oily hai, aur yh kbhii bhii burnt nhiim hotii jaise kbhii-kbhii Joe's kii hotii hai।",['food'],['positive']
715,"hmne menu ke Thai section se kuchh beef aur noodle soup dishes mmgvaae, lekin hmemne aisaa kuchh bhii nhiim paayaa jo Thai kaa ho।",['food'],['negative']
939,Food prmaaणik thaa।,['food'],['positive']
623,yh greenewich village mem located hai।,['anecdotes/miscellaneous'],['neutral']
124,vhm kaa food sastifying hai।,['food'],['positive']
760,"Asian fusion ke lie, downtown ke kii places city se aage haim।",['anecdotes/miscellaneous'],['neutral']
3513,"Service poor thii, restaurant poorly lit kie gye the, staff bhut attentive nhiim the aur maimne shaayd hii Mcdonald's ke aise joint mem khaayaa hogaa।","['service', 'ambience']","['negative', 'negative']"
2163,New York mem hmaaraa first time thaa aur hmem ek New York Bagel ko aaज़maa liyaa thaa।,['anecdotes/miscellaneous'],['neutral']
3443,Service kmaal kii vinmr  thii।,['service'],['positive']
1667,maimne kuchh previews reviews pढ़e haim - people yaa to New Yorkers nhiim haim yaa phir ambience ke lie food ko adhik appreciate krte haim।,['anecdotes/miscellaneous'],['neutral']
426,"Toons ko recently redone kiyaa gyaa hai, islie yh ab ek bhut hii attractive space hai।",['ambience'],['positive']
2651,"hm dinner ke lie ek impressive past se impress hone kii expection rkhe the - lekin, yh bs PAST hai!",['anecdotes/miscellaneous'],['negative']
2848,"Menu Prix Fixe hai, islie km se km $60 per person spent krne ke lie taiyaar rhem, lekin yh superb food ke lie Well worth hai।","['price', 'food']","['negative', 'positive']"
3417,"jbki ne restaurant mem abhii bhii usii features ke saath classical furniture haim jo Tiffin ko itnaa attractive bnaate haim, menu ko overhauled bnaayaa gyaa hai।","['anecdotes/miscellaneous', 'ambience', 'food']","['neutral', 'positive', 'negative']"
2532,aapkaa money easily khiim aur better spent kiyaa jaa sktaa hai (khiim bhii)।,['anecdotes/miscellaneous'],['negative']
1953,apnii appetites ko bढ़aao।,['anecdotes/miscellaneous'],['neutral']
597,"Seriously, yh place ass ko kick krtaa hai।",['anecdotes/miscellaneous'],['positive']
594,"Food decent aur achchhaa hai, aur ambience, achchhii trh se, opinion kii baat hai, kuchh ise ek sweet thing maan skte haim, maimne sochaa ki yh sirph annoying thaa।","['food', 'ambience']","['neutral', 'conflict']"
2871,"Leon ek East Village gem : casual lekin hip hai, achchhii trh se taiyaar basic French bistro fare, achchhe specials, ek warm aur lively atmosphere ke saath hai।","['food', 'ambience']","['positive', 'positive']"
1935,"Shockingly yhm ek group dinner denaa aasaan hai: simple contract, kevl hm sbhii 20 ke group ke lie 2nd fl mezz kii date hold krne ke lie deposit krem।",['anecdotes/miscellaneous'],['positive']
1665,Drinks ke priced kaa bढ़naa।,['price'],['negative']
2432,Place ke niiche mukhy downside mem nazi jaisaa dikhne vaalaa guy hai jo lgaataar noise level ke baare mem complain krtaa hai।,['service'],['negative']
2230,jo mujhe psmd nhiim thaa vo food kaise order kr diyaa gyaa thaa।,['food'],['negative']
