id,text,aspect_category_now,ac_polarity
3085,"yaha sabase bar3A place hai jo most joints se alaga adequate seating vAle features rakhatA hai, aura eka bar jo mention ko deserve karatA hai|",['ambience'],['positive']
954,isa restaurant ko pass karane ke kucha samaya bAda maiMne finally aMdara jAkara aura dinner karane kA decide kiyA|,['anecdotes/miscellaneous'],['neutral']
3626,"agara maiM yahA~ ke people ko rate kara sakatA to yaha place charts ke bAhara hotA - durbhAgya se - , kSamA kareM - pizza, NYC meM bahuta acchA nahIM|","['food', 'service']","['negative', 'positive']"
408,Rice to fish ration acchA thA - unhoMne rice ko overpack karane kA try nahIM kiyA|,['food'],['positive']
2453,"mere husband ne kahA ki portions bahuta small the, lekina agara mere main course kA portion khAne meM acchA hotA to mere lie ThIka hotA|",['food'],['negative']
3148,maiMne a lotus leaf wrapped rice ke lie eka cart attendant se pUchA hai aura usane nice reply diyA aura basa calI gaI|,['service'],['negative']
1344,isakI tulanA meM jalapeno kI heat adhika hotI hai aura yaha indeed bahuta acchA hotA|,['food'],['positive']
960,Restaurant thor3A noisy hai lekina yaha kucha aisA hai jise overlooked karate hue eka bAra baiThakara meal ko enjoy karate hai|,"['ambience', 'food']","['conflict', 'positive']"
768,"yadi Apa visit kara rahe haiM, to Apa ambiance aura Time Sq... ke isa fact ko enjoy kareMge|",['ambience'],['positive']
266,Staff avizvasanIya rUpa se helpful aura attentive hai|,['service'],['positive']
682,One less manhattanite the better.,['anecdotes/miscellaneous'],['neutral']
1147,"mujhe seriously doubt hai ki maiM kabhI bhI Jimmy's Bronx meM dine, yA kabhI usa matter lie phira Jimmy's Uptown jAUMgA|",['anecdotes/miscellaneous'],['negative']
3206,yaha dates ke lie eka go-to ke sAtha hI town guests ke lie bhI entertaining hai|,['ambience'],['positive']
1343,"Jalapeno-lime olive oil se fluke sashimi bUMda-bUMda giratI hai, fruit of the oil acchI taraha se fish ke sweetness ko highlight karatA hai|",['food'],['positive']
1424,"merI pasaMda: - Scallion Pancake (vegetable juice ke sAtha fried, bahuta special aura tasty) - Guizhou Chicken - Shredded Squid Family Style (mere khuda ke favorites meM se eka) - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (yaha eka hardcore Sichuan food fans ke lie, maiM apane American friends ko recommend nahIM karUMgA, kyoMki yaha kAphI spicy hai|",['food'],['positive']
94,"kamAla kA atmosphere, svAdiSTa acchI dishes aura mitra jaisI service.","['food', 'service', 'ambience']","['positive', 'positive', 'positive']"
1607,"Service thor3I slow hai, lekina Napoli meM bar3hate hue mere harkens A jAte haiM, Italy jahAM things jAtI nahIM aura jaba Apa dinner ke lie baiThate haiM to table pUrI night ApakI hotI hai|",['service'],['conflict']
2771,"vo, editor yA idea of romance ko agale table para eka conversation meM share karanA cAheMge, jabaki 57veM traffic kI tulanA meM loude bolane ke lie try kara raheM hai|",['ambience'],['negative']
58,"zAnadAra food ke sAtha eka acche bar, aura DheroM zAnadAra beer hai|","['food', 'ambience']","['positive', 'positive']"
869,Ambience authentic aura relaxing va hamezA hamane attentive aura prompt service pAyI hai|,"['ambience', 'service']","['positive', 'positive']"
