id,text,aspect_category_now,ac_polarity
3085,"यह सबसे बड़ा place है जो most joints से अलग adequate seating वाले features रखता है, और एक bar जो mention को deserve करता है।",['ambience'],['positive']
954,इस restaurant को pass करने के कुछ समय बाद मैंने finally अंदर जाकर और dinner करने का decide किया।,['anecdotes/miscellaneous'],['neutral']
3626,"अगर मैं यहाँ के people को rate कर सकता तो यह place charts के बाहर होता - दुर्भाग्य से - , क्षमा करें - pizza, NYC में बहुत अच्छा नहीं।","['food', 'service']","['negative', 'positive']"
408,Rice to fish ration अच्छा था - उन्होंने rice को overpack करने का try नहीं किया।,['food'],['positive']
2453,"मेरे husband ने कहा कि portions बहुत small थे, लेकिन अगर मेरे main course का portion खाने में अच्छा होता तो मेरे लिए ठीक होता।",['food'],['negative']
3148,मैंने a lotus leaf wrapped rice के लिए एक cart attendant से पूछा है और उसने nice reply दिया और बस चली गई।,['service'],['negative']
1344,इसकी तुलना में jalapeno की heat अधिक होती है और यह indeed बहुत अच्छा होता।,['food'],['positive']
960,Restaurant थोड़ा noisy है लेकिन यह कुछ ऐसा है जिसे overlooked करते हुए एक बार बैठकर meal को enjoy करते है।,"['ambience', 'food']","['conflict', 'positive']"
768,"यदि आप visit कर रहे हैं, तो आप ambiance और Time Sq... के इस fact को enjoy करेंगे।",['ambience'],['positive']
266,Staff अविश्वसनीय रूप से helpful और attentive है।,['service'],['positive']
682,One less manhattanite the better.,['anecdotes/miscellaneous'],['neutral']
1147,"मुझे seriously doubt है कि मैं कभी भी Jimmy's Bronx में dine, या कभी उस matter लिए फिर Jimmy's Uptown जाऊंगा।",['anecdotes/miscellaneous'],['negative']
3206,यह dates के लिए एक go-to के साथ ही town guests के लिए भी entertaining है।,['ambience'],['positive']
1343,"Jalapeno-lime olive oil से fluke sashimi बूंद-बूंद गिरती है, fruit of the oil अच्छी तरह से fish के sweetness को highlight करता है।",['food'],['positive']
1424,"मेरी पसंद: - Scallion Pancake (vegetable juice के साथ fried, बहुत special और tasty) - Guizhou Chicken - Shredded Squid Family Style (मेरे खुद के favorites में से एक) - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (यह एक hardcore Sichuan food fans के लिए, मैं अपने American friends को recommend नहीं करूंगा, क्योंकि यह काफी spicy है।",['food'],['positive']
94,"कमाल का atmosphere, स्वादिष्ट अच्छी dishes और मित्र जैसी service.","['food', 'service', 'ambience']","['positive', 'positive', 'positive']"
1607,"Service थोड़ी slow है, लेकिन Napoli में बढ़ते हुए मेरे harkens आ जाते हैं, Italy जहां things जाती नहीं और जब आप dinner के लिए बैठते हैं तो table पूरी night आपकी होती है।",['service'],['conflict']
2771,"वो, editor या idea of romance को अगले table पर एक conversation में share करना चाहेंगे, जबकि 57वें traffic की तुलना में loude बोलने के लिए try कर रहें है।",['ambience'],['negative']
58,"शानदार food के साथ एक अच्छे bar, और ढेरों शानदार beer है।","['food', 'ambience']","['positive', 'positive']"
869,Ambience authentic और relaxing व हमेशा हमने attentive और prompt service पायी है।,"['ambience', 'service']","['positive', 'positive']"
505,"इससे अच्छा है कि, वे जानते हैं कि French classics को Setak au Poivre और Onglet को कैसे बिना जलाए death तक इसे overcooking कर दिया जाए।",['food'],['positive']
828,"हालांकि मैंने dinner के लिए night में 3 बजे Dinnerbroker के माध्यम से reservation किया था, हम सबसे अच्छे view के पास table पर seated थे!","['anecdotes/miscellaneous', 'ambience']","['positive', 'positive']"
2282,आप fellas लोग कहते हैं कि यह town का best Taiwanese restaurant है।,['anecdotes/miscellaneous'],['neutral']
1929,"Food delicious था (मेरे पास halibut special था, मेरे husband के पास steak था), और service उच्च कोटी का था।","['Food', 'service']","['positive', 'positive']"
2797,यही केवल एक place है जहां आप yummy authentic japanese comfort food खा सकते हैं।,['food'],['positive']
2125,"बहुत बड़े और ताज़े pieces of sushi, और स्वादिष्ट!",['food'],['positive']
3371,जबकि pasta भी यहाँ delicious है (New York pizza restaurants में यह दुर्लभ) है।,['food'],['positive']
1481,"Ingredients taste को fresh करता है, crust पतली और crispy होती है, slice कम oily है, और यह कभी भी burnt नहीं होती जैसे कभी-कभी Joe's की होती है।",['food'],['positive']
715,"हमने menu के Thai section से कुछ beef और noodle soup dishes मंगवाए, लेकिन हमेंने ऐसा कुछ भी नहीं पाया जो Thai का हो।",['food'],['negative']
939,Food प्रमाणिक था।,['food'],['positive']
623,यह greenewich village में located है।,['anecdotes/miscellaneous'],['neutral']
124,वहां का food sastifying है।,['food'],['positive']
760,"Asian fusion के लिए, downtown के कई places city से आगे हैं।",['anecdotes/miscellaneous'],['neutral']
3513,"Service poor थी, restaurant poorly lit किए गये थे, staff बहुत attentive नहीं थे और मैंने शायद ही Mcdonald's के ऐसे joint में खाया होगा।","['service', 'ambience']","['negative', 'negative']"
2163,New York में हमारा first time था और हमें एक New York Bagel को आज़मा लिया था।,['anecdotes/miscellaneous'],['neutral']
3443,Service कमाल की विनम्र  थी।,['service'],['positive']
1667,मैंने कुछ previews reviews पढ़े हैं - people या तो New Yorkers नहीं हैं या फिर ambience के लिए food को अधिक appreciate करते हैं।,['anecdotes/miscellaneous'],['neutral']
426,"Toons को recently redone किया गया है, इसलिए यह अब एक बहुत ही attractive space है।",['ambience'],['positive']
