baiTamaina banAma suparamaina	batman vs superman
nirdezaka z2aika snAiDara haiM, 27% sar3e hue TamATara, 4.9/10.	Zack Snyder director haiM , 27 % Rotten Tomatoes , 4.9 / 10 .
bahuta lokapriya nahIM hai aisA lagatA hai	lagatA hai bahuta popular nahIM hai
lekina darzakoM ko yaha pasaMda AyA| isameM bI sinemA skora hai	but audience ne like kiyA , isakA cinema score bhI hai
hA~	yes
pezevara AlocakoM kI rAya aura niyamita philma darzakoM ke bIca eka vizAla vicalana hai	huge divergence hai profession critic kI opinion aura rugalara movie dekhane vAloM ke bIca
maiMne ise kabhI nahIM dekhA hai	maiMne to kabhI nahIM dekhA hai .
maiM aMtara patA hai.	mujhe difference pAtA hai
mujhe vizvAsa nahIM ho rahA hai ki ve bena Affleck baiTamaina ke rUpa meM istemAla kiyA	mujhe to believe hI nahIM hotA ki unhoMne Ben Affleck ko Bataman banAyA .
to yaha zAyada kisI bhI puraskAra nahIM milegA, lekina baॉksa ऑphisa para paryApta acchI taraha se kiyA jAnA cAhie	So Probably isako koI award nahIM milA , but box office para isako badhiyA karanA thA
yaha eka ajIba vikalpa thA	bahuta strange choice thI yaha .
khaira yaha 2016 meM banAyA gayA thA	hA~ to yaha 2016 meM AyA
maiM sirpha anumAna lagA rahA hU~ ki yaha usa samaya kyA hAsila kara sakatA hai	maiM guess karatA hU~ ki agara ye accomplished phira se havA to
zAyada una skora ke sAtha kucha bhI nahIM	probably aise kucha scores aba taka nahIM AyA
ina blaॉkabasTara prakAra kI philmoM ke lie AlocakoM kI svIkRti kI tulanA meM baॉksa ऑphisa sakala adhika mahatvapUrNa hai	Box office meM to isakA itanA important havA kI sabhI critics ko accept kiyA aura blockbuster type kA movies banAyA
mujhe pasaMda nahIM hai ki kaise ve eka pUrI naI kahAnI lAina banAyA.	mujhe usa new story line ko bilkula pasaMda nahIM AyA
unhoMne mere lie ise barbAda kara diyA	vaha to itanA ruined ho gayA
hAlAMki Alocaka muMha se muMha ke zabda ko kucha hada taka prabhAvita kara sakate haiM	critics to itanA bekAra nikalA
baiTamaina eka arabapati ke rUpa meM	batman to billionaire ho gayA
hA~ sahI hai!	hA~ yAra
kyA vaha hamezA aisA nahIM rahA hai?	kyA vaha hamezA aise hI haiM ?
lekina ve ise mukhya phokasa banAte haiM|	But vaha isa meM focus banAte haiM .
mujhe patA hai, vinamra baiTamaina thA	Batman mujhe patA hai , humble thA
mukhya pAtroM ke lie bauddhika vikAsa kI kamI merI samasyA thI| vizeSa rUpa se leksa lUthara ke bAre meM	maiM characters ke lie intellectual development mere lie problem thI . Khaaskar Lex Luthor se saMbaMdhita
kyA Apane yaha filma dekhI hai?	kyA tumane yaha movie dekhI hai ?
hA~, mere pAsa hai	hA~ maiMne dekhI
ApakA pasaMdIdA hissA kyA thA?	tumhAre favourite part kyA hai ?
leksa lyUthora aba taka kA sabase burA khalanAyaka thA	Lex Luthor sabase burA villain thA
Apako kyA lagatA hai?	tumane socA ?
yaha eka yAdagAra philma nahIM thI| isane mujhe usa samaya paॉpakaॉrna kI eka bAlTI ke mAdhyama se lAyA jaba maiM dekha rahA thA, lekina Apa isake bAre meM jalda hI bhUla jAte haiM	vaha eka yAdagAra movie nahIM thI . jaba maiM isI dekha rahA thA taba mujhe popcorn kI bucket lene kA khayAla AyA , but tuma jaldI hI bhUla jAoge bAda meM
hAhAhA	hahaha
kyA logoM ko patA thA ki ve supara hIro the?	kyA logoM ko patA thA that they were super heroes ?
sabase acchA hissA aMtima adhiniyama meM vaMDara vumana ekzana dRzya thA	Wonder Woman action scenes final act meM best part thA
maiM vaMDara vumana se pyAra karatA hU~	meM Wonder Woman ko love karatA hU~
vaMDara vumana usake lie sahI nAma hai kyoMki mujhe hamezA Azcarya hotA hai ki unheM philmoM meM Ane meM itanA samaya kyoM lagA	Wonder Woman usake lie sahI nAma hai cause I always wonder why they took so long to get her into the movies
hAhAhA	haha
maiM sahamata hU~ !	I agree ! ! !
mujhe eka acchI suparahIro philma pasaMda hai! Ayarana maina eka acchI hai|	mujhe good superhero movie achi lagatI hai ! Iron Man achi movie hai
hailo	hello
kyA tumane emaemavI dekhI hai?	kyA tumane move dekhI hai ?
hAya! hAya!	hai !
maiMne ise kaI sAla pahale dekhA thA	maiMne kAphI years pahale dekhI
hA~, eka hI!	hAM , same !
aura hAla hI meM bhI| maiM vAstava meM Ayarana maina ke rUpa meM raॉbarTa DAunI jUniyara kA AnaMda letA hUM|	aura abhI recent meM . meM Robert Downey jAra ko esa Iron Man kAphI enjoy karatA hUM .
maiM vizvAsa nahIM kara sakatA hai ki yaha bAhara AyA hai ke bAda se 10 sAla ho gae haiM. yaha pAgala hai.	mujhe believe nahIM hotA ki ise Aye hue 10 sAla ho gae . That's crazy .
mujhe patA hai, yaha kaI varSoM kI taraha lagatA hai	mujhe patA hai , lagatA hai couple years hI hue haiM
mujhe raॉbarTa DAunI bhI pasaMda hai	mujhe bhI Robert Downey acchA lagatA hai
samaya ur3atA hai. hAhA.	Time fly ho jAtA hai . haha
kyA Apa ise phira se dekheMge?	kyA tuma ise dobArA dekhoge ?
nizcita rUpa se!	Definitely !
kyA Apane ise pahalI bAra bar3I skrIna para dekhA thA?	kyA tumane pahalI bAra isako big screen para dekhA thA ?
maiM Ama taura para Rotten Tomatoes skora ke sAtha sahamata hU~. isa philma ke lie eka 94 kAphI acchA hai.	maiM Rotten Tomatoes scores se normally agree karatA hU~ . isa movie ke lie 94 kAphI good thA .
maiMne ise DIvIDI para dekhA lekina phira bhI maz2edAra thA	maiMne ise DVD para dekhA para still yaha majedAra thA
ImAnadArI se ... yakIna nahIM hai! hA!	Honestly ... confirm nahIM hai ! hai !
maiM pUrI taraha se AlocakoM para bharosA nahIM karatA, ve pakSapAtI samIkSA dete haiM	maiM critics para pUrI taraha bharosA nahIM karatA , vaha biased reviews dete haiM
kyA isa filma kA koI sIkvala nahIM thA?	kyA isa movie kA sequel nahIM thA ?
maiM bhI una para pUrI taraha se bharosA nahIM karatA| maiM kabhI bhI samIkSAoM ko philma dekhane se nahIM rokatA|	maiM pUrI taraha se una para bharosA nahIM karatA . maiMne kabhI bhI apane Apa ko reviews ke based para movie dekhane se nahIM rokA .
mujhe lagatA hai ki yaha apane lie taya karane ke lie sabase acchA hai	mujhe lagatA hai ki apane se decide karanA sabase acchA hai
maiM Amataura para eka philma dekhatA hUM agara mujhe abhinetA pasaMda Ate haiM	maiM aksara vo movie dekhatA hUM jisa meM merI pasaMda ke actors hote haiM
mujhe vizvAsa hai ki vahA~ eka Ayarana maina 2 aura 3 thA!	merA mAnanA ​ ​ hai ki Iron man 2 aura 3 thA !
maiM bhUla gayA thA ki jepha puloM isa kAsTa meM thA!	maiM bhUla gayA ki Jeff bridges isa cast meM thA ! !
vaise hI!	isI taraha ! !
mujhe vAstava meM isa philma kA aMta pasaMda AyA| vizeSa rUpa se jaba TonI sTArka ne Ayarana maina ke rUpa meM apanI pahacAna kA khulAsA kiyA|	mujhe vAstava meM isa movie kA end pasaMda AyA . Khaasakar jaba Tony Stark ne Iron Man ke rUpa meM apanI pahacAna batAe .
mujhe vivaraNa yAda nahIM hai lekina pUrI philma sukhada thI	mujhe kucha yAda nahIM haiM lekina pUrA movie to enjoy kara rahA thA
sAtha hI jaba sTArka apanI imArata kI chata para sTena ko harAtA hai|	taba shark to sTena ko defeat kara rahA thA usa Upara vAlI building se
Apako ise phira se dekhanA hogA aura apanI smRti ko tAz2A karanA hogA!	Apa dUsarI bAra isa movie ko dekho aura yAdoM ko refresh karo
mujhe lagatA hai ki mujhe yAda hai ki	maiM bhI kucha aise hI socatA thA
hA~, maiM ise phira se dekhane kI jarUrata hai	hA~ .. maiM z2arUra dekhUMgA
zAyada vasaMta kI chuTTI ke daurAna	spring kA break meM dekha lUMgA
ekadama sahI! Apa agalI kar3I ke sAtha pAlana kara sakate haiM. hAhA	perfect ! Apa sequels bhI folk karo .. ha ha
yaha una philmoM meM se eka hai jise Apa kisI bhI samaya uThA sakate haiM aura dekha sakate haiM	yaha ina movies meM yaka haiM , Apa abhI hI pick up karo aura kabhI bhI watch kara sakate haiM
Apa vAstava meM pRSThabhUmi patA karane kI jarUrata nahIM hai	Apa ko to yaha background ko patA hI nahIM
nizcita rUpa se! yahAM taka ki sIkvala ke lie. abhI bhI sukhada. khaira, yaha acchA caiTa kiyA gayA hai! apane dina ke bAkI kA AnaMda leM.	Definitely ! maiM sequels bhI dekha lU~gA .. bahuta majA AyegA .. to Apase chat karane se ache lage ... rest of the day enjoy karo ..
HI	namaste
HI	namaste
kyA Apane yaha filma dekhI hai?	kyA Apane wonder woman film dekhA hai
hA~	huA
kyA Apako yaha filma pasaMda hai?	kyA yaha film Apa ko pasaMda hai ?
mujhe yaha filma pasaMda hai	mujhe yaha film pasaMda hai
yaha DIsI kaॉmiksa para AdhArita hai| vAmara bradarsa dvArA vitarita| citra	yaha dc comic para AdhArita hai . vemara bros pictures ne vitarita kiyA hai
hA~, yaha eka prasiddha DIsI kaॉmiksa hai|	hAM vo eka famous DC Comics hai
acchA hai	acchA
yaha jarmana senA (jarmana sAmrAjya) hai	ye haiM German Army ( German Empire )
hA~ mujhe patA hai| Deutsches Heer zabda kA upayoga Adhunika jarmana senA ke lie bhI kiyA jAtA hai, jo buMDesavehara kA bhUmi ghaTaka hai|	hA~ maiM jAnatA hU~ . yaha term Deutsches hara modern German Army ke lie bhI use ho haiM . Bundeswehr kA land component
nirdezaka ke rUpa meM jenakiMsa kI bhUmikA unheM lAiva-ekzana, thieTara meM jArI kaॉmika buka suparahIro philma kI pahalI mahilA nirdezaka banAtI hai|	isake alAvA Jenkin kA role as a director use pahalI women director banA detA hai kisI bhI live-action theatrically released comic book superhero film kA
