id,sentence,#aspect terms,aspect_term,at_polarity
892:1,"Boot time bhut tej hai, lgbhg 35 seconds se 1 minute tk।",1,['Boot time'],['positive']
1144:1,"jb tk maimne aapkaa plan $150 ke lie nhiim buy kiyaa, tech support problem ko fix nhiim kregaa।",1,['tech support'],['negative']
805:2,lekin resume mem yh computer rock krtaa hai!,0,[],[]
359:1,Set up was easy.,1,['Set up'],['positive']
562:1,ne Windows 8 aur touchscreen functions ko enjoy nhiim kiyaa।,2,"['Windows 8', 'touchscreen functions']","['negative', 'negative']"
323:1,"mujhe aisii ummiid thii kyomki yh ek Apple product hai, lekin maim apnii expectations ko exceed krte hue dekhkr glad thaa, yhii vo laptop jise abhii buy krnaa hai।",0,[],[]
958:1,"Click pads (in dinom industry standard hai) aur lousy internal speakers ke fan nhiim hone ke alaavaa, mere lie is notebook ke baare mem things find krnaa hard hai jo mujhe psmd nhiim haim, vishesh roop se $350 price tag consider krnaa।",3,"['internal speakers', 'price tag', 'Click pads']","['negative', 'positive', 'negative']"
684:1,excellent in every way.,0,[],[]
282:9,koii installation disk (DVD) shaamil nhiim hai।,1,['installation disk (DVD)'],['neutral']
819:1,"yh fast hai, use krne mem simple aur light hai।",1,['use'],['positive']
130:1,"achchhii trh se works krtaa hai, aur maim ek apple OS pr vaaps aa ke extremely happy hoom।",2,"['works', 'apple OS']","['positive', 'positive']"
791:30:00,jb se hmne ise liyaa hai yh mac ek problem hai।,0,[],[]
593:1,"Sure hoom ki yh light aur slim nhiim hai, lekin iske lie features 100% make up krtii haim।",1,['features'],['positive']
996:1,"maim fast log on, speedy WiFi connection aur long battery life (> 6 hours) se pleased hoom।",3,"['log on', 'WiFi connection', 'battery life']","['positive', 'positive', 'positive']"
314:21:00,Apple engineers ne abhii tk delete key discover nhiim kii hai।,1,['delete key'],['negative']
147:5,Interneting (mere business kaa part hai) maintain krnaa bhut difficult hai।,1,['Interneting'],['negative']
3:1,"Luckily, hm sbhii ke lie yh decision contemplate krne ke lie, Mac Mini kii priced right hai।",1,['priced'],['positive']
132:1,Small hai aur abhii bhii bhut powerful hai।,0,[],[]
293:1,maimne apne State's tax-free weekend mem $ 1199.00 ke lie yh model liyaa aur local BestBuy mem MacBook ke lie $ 100 kaa off coupon thaa!,0,[],[]
663:1,"Super light, super sexy aur sb kuchh bs work krtaa hai।",1,['work'],['positive']
373:1,"kevl ek problem jo mujhe lgii thii ki track pad mere lie bhut achchhaa nhiim thaa, mujhe kevl iske saath ek yaa do baar problem huii thii, lekin shaayd meraa computer thod़aa defective thaa।",1,['track pad'],['negative']
798:49:00,aur agr aap ek pc se switch kr rhe haim to maim ise  hilghy sugest kroomgaa।,0,[],[]
759:1,yh super fast hai aur ismem outstanding graphics haim।,1,['graphics'],['positive']
326:1,lekin mountain lion bhut slow hai।,1,['mountain lion'],['negative']
